127.0.0.1 - - [08/Jul/2025 22:21:13] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:21:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:22:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:22:27] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:22:28] "GET /CustomMarkdown.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:22:28] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 22:22:28] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 22:22:39] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 22:22:39] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 22:26:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:26:59] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:26:59] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:27:01] "GET /FloatChatLayout.vue HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:27:03] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 22:27:03] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 22:29:43] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:29:43] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:29:43] "GET /floatchatService.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:29:43] "GET /llmContext.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:29:43] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 22:29:43] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 22:29:43] "GET /FloatChatLayout.vue HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:29:54] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:29:54] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 22:29:54] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 22:30:33] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:30:33] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 22:30:33] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 22:30:33] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:30:34] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:30:34] "GET /FloatChatLayout.vue HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:32:47] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:32:47] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:32:47] "GET /floatchatService.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:32:47] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:32:48] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:32:49] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:32:54] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 22:32:54] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 22:33:45] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:33:45] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 22:33:45] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 22:33:45] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:33:45] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:33:45] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:33:46] "GET /FloatChatLayout.vue HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:33:47] "GET /ChatTab.vue HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:39:48] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:39:48] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:39:49] "GET /CustomMarkdown.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:39:49] "GET /floatchatService.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:39:49] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:39:50] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:39:51] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:47:58] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:47:58] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:47:58] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:47:58] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:47:58] "GET /llmContext.js HTTP/1.1" 304 -
